PC1,PC2,PC3,PC4,KMeans_Pred
-2.9130245873965857,0.09562057550551034,-0.7181184950837275,1.0052546410346568,0
0.4299113299319382,-0.5881556664216978,-0.3334855047707438,-1.1610585922524999,1
-0.285225077370054,-0.455174413339767,1.2215048093977299,-0.8681145029108586,1
-2.9324226542292737,1.6955550705215463,1.5250437441647642,0.8396250142267612,0
1.033575866470832,0.136658708842352,-0.22572091671052233,-0.8470626869435729,1
0.02240726157374486,-1.779186575829487,0.8699971159280675,-0.0369668667290607,1
-0.10158373658107364,-0.5682517238414152,0.24209181550109138,-1.4662657575628633,1
2.3421646096858817,-1.9884591539619916,0.19034418843710801,1.1050377785044765,3
2.973763664204304,-0.7346886586078282,-0.5197663558728384,1.2054421047944048,3
-0.1814869973119931,-0.4028658734836363,0.8674587430348112,-0.43877298303146295,1
1.2687438639868232,-0.6565883632526899,-0.4880976157703645,0.05563355526389328,1
1.6709963959114864,0.5611624925384967,0.9912583033282915,-0.20708047512597882,1
-1.123850934504571,-0.9613974045352939,0.526614801137453,-1.1972013909496666,1
1.0813741969947277,-0.4819695301363476,-0.6643551977676153,-0.5225052332299168,1
0.5800251522399511,0.5353268339800492,0.48622751079180837,-1.0352754244616642,1
3.1437859612631356,0.6635479207509868,-0.6452280938470742,1.0948977476642723,3
0.21125544693609719,0.6992426623417225,-0.275560899703398,-1.0956269222861719,1
-2.6723138793579433,0.41817212457900815,-0.25736847311473104,0.27867243350496385,0
-0.15657096223455244,0.7773956172959962,-0.2773435586811688,-1.03865010841676,1
-0.7938515610201607,-0.12026108495343897,0.40074149451747637,-0.7247032899508717,1
0.9958671428099947,-0.9718884391705788,-1.5283276010553142,-0.6208847920910426,1
-0.882087638992555,0.4573681803256267,-0.5846329491532578,0.40616080954632694,0
0.14078136091759974,-2.1510773058294337,-0.17263515260789927,-0.1669196466776397,1
2.4600860882799913,0.01645404364593547,3.019840393539785,0.7768407507625508,3
0.9065945150342387,0.03027760544523864,-0.47120403644803077,-0.9946613960917968,1
-3.1220534364091423,0.03877496879183944,-0.45575079671486635,1.0809176175914463,0
-2.8989706793026757,-0.42266332787881344,-1.3474134477535356,1.8214740989134988,0
-0.5824118671980264,0.8948203322738488,-0.4987046603266656,-0.805233621563345,1
-2.8079085749024078,0.07864889686740369,-0.3429611164459417,0.5435568442805019,0
2.543630550006369,-1.7270946979437067,-0.3962810227727276,1.3368525476203048,3
-0.15580145212391816,0.35123545761455804,-0.29208667138951944,-1.3437411025589066,1
-3.9649640194894404,0.3866193194206676,-0.3235569224357563,0.9183010191820037,0
-3.5575552027002755,1.2891280920966854,-0.10301543297258144,1.2084064181564897,0
0.9516560554273624,-1.0764282701637693,0.1508208195185196,-0.43663419275355414,1
0.05748198032756717,-1.1899965198293454,0.4273154880963987,-1.2771788764674803,1
0.12114611965107018,-1.7689091360987828,-0.2456058874636875,-0.7152088707954759,1
-2.093556430840301,0.3436009878116026,-0.3283812719226447,-0.11894724797976254,0
-3.1733701154043676,1.0503816332379654,-0.0012191545644698186,1.5742101583942056,0
-1.725676407637265,2.1763489504338636,1.492719396304421,-0.1385926280260337,0
0.9378266149945536,-1.3504723760959652,-0.8211296609579617,-0.25985459237057923,1
-2.581706232957866,1.2078734222116307,-0.23306615749311804,0.6652933592764981,0
1.1488634359443195,-0.8448120464284746,-0.4097125636333407,-0.6229225526817453,1
2.174454920098876,-0.004510447367102078,0.2573196336029216,-0.3118565440998171,3
2.0532632868341665,0.42319827997206216,-0.5433356822627516,-0.4117359588066505,1
3.0104918213767755,-0.8655487291060776,-0.33575216667104546,1.7872227818587,3
-0.23110292277446612,-0.8806413020766547,-0.036736381599783194,-0.6534328533535866,1
0.009618332404326775,-1.0452209670773602,-0.2732924412456857,-0.4885137194725951,1
-0.8481866985512946,-0.8198189017563542,0.5832897516275488,-0.7452309176181935,1
0.08186784453623147,-0.5678039433428752,-0.5758775861061641,-0.9765206220816671,1
-1.2934228376741697,2.363694551720761,1.7793344902490928,1.7372441919826285,0
-2.474695897621833,-0.6180252364945531,0.8034965729923302,-0.4882562376728892,0
1.6590833964277,1.0215644729461173,-0.1111162099319333,-0.863149640045355,1
-0.18882840907251455,1.0717645827004338,-0.19049420726292837,-0.9798355966356083,1
2.45896019179452,-1.0761429369309732,-0.10043903214594561,0.8993283577807999,3
2.2542707953098273,-1.8666381291670753,-0.7119883121889035,1.2300054815409374,3
-1.4217145532419786,0.31972335837300087,1.5375333579651218,0.18775919034918562,0
-2.213669582703381,0.22349589624451713,-0.39311129237306325,0.2899141815611904,0
0.32194220664515866,-0.5182552248417758,-0.9736873191251031,-0.4670617026743915,1
2.671421951847691,-1.273609900582821,-0.656170834028756,1.125992966885284,3
-2.0541669295167884,0.3800343931886961,0.41965410929319813,0.09097096512147587,0
1.7794929410031528,-1.7653969323374872,-0.6841977738222735,0.2627019175300745,3
0.14550479926578808,-0.43133636632317424,-0.47046799775054515,-0.9711678706532465,1
-0.6635031249243214,-0.6139108370318462,-0.33267374132076316,-0.44531709120333385,1
-2.9695294733720403,0.7285337855948651,0.3910389781435563,0.6665494942048033,0
-2.8336164728613245,-0.09112819501299964,-1.2051739844193177,1.1330448904595438,0
-0.32278146485573134,1.3613413588025733,-0.4705121575598106,-0.8504554743797502,1
-4.409717274974025,1.74223048519763,-1.4628087356695951,1.7935922202224108,0
1.8391601264895308,1.2729649266968395,-0.4626313652758719,-0.7792756934830399,1
2.4809239567775347,-0.6347019259054008,0.10379522586528703,0.9198531499898214,3
-1.3428257947703688,-0.5351389457527037,0.46994640613791416,-0.7882938022843364,1
-0.9547501236855873,-0.732361786411817,1.376011044669396,-1.1436878791455096,1
-0.0010646119252016432,-1.3343495948884092,1.0228051328848236,-0.7545466720171178,1
-1.0292281606558105,-0.2832693229424988,0.19222681282858045,0.5641405925551508,0
3.6686280445150414,1.7294931689378268,-0.5239887809356151,0.9899746499911536,3
1.4853166588896056,-1.0492243637123566,0.07679053413482519,0.32098917878131955,3
2.1658099505088533,-1.7724854795157479,-0.2841835352121066,0.5167118979182753,3
0.018609300222762318,-0.23896130429128012,0.3337498170622298,-1.222456453300822,1
2.265881986853446,-2.4355938335820557,-0.22969866641381337,0.7125662691846537,3
0.1601426432731467,0.541065172087544,-0.5575297593133343,-0.37653424338855024,1
-0.29334649971037097,-0.2375254341072835,1.4924262397706778,-0.4530782321265868,1
-1.874702472780648,-0.1710299672655438,-0.24955705028378533,-0.28555453298207356,0
-1.2392168622446296,0.3691384109440427,-2.3682738212466754,0.5922310242118789,0
2.4656587034837147,0.08804977845740138,2.6522680051795122,0.7088844199774094,3
-0.33996988019490565,1.298196412028729,-0.4278609910812227,-0.8173205704595256,1
-1.5277699460302683,0.5457868911492435,0.13715892824125347,-0.4155819030530966,0
1.1888398448812423,0.1620400345333153,-0.4882552793714963,-0.9308545359995783,1
1.1719907605412028,-0.2562951121423208,-0.6189923050770555,-1.0541860698750025,1
-1.8031513987910848,2.037850979263367,-2.4968846028312175,1.0721987522269099,0
-1.7735802317176605,1.0533986657263872,-2.3904403094082367,1.1795690843973874,0
0.8189430506398372,0.38984165994536873,1.4898916150945143,-0.6195456605071267,1
1.409788123454304,0.7298331976042456,-0.40800647554326896,-0.7646777315645349,1
6.917754960193372,4.849843686160695,1.0018372215757991,3.129642548745851,2
0.7332103191064092,-0.09486743144697656,-0.6572766931433597,-1.138232787905739,1
-2.136008673805888,0.34273304169145496,0.23484223205723723,-0.31746894167773276,0
-2.97988525279029,0.21662241913399127,-0.20459621115753382,0.8391080278913547,0
1.2308284212408358,1.6017486351199066,0.5387193681893144,-1.086372353715716,1
1.108601006988445,1.0093142609302523,-0.2699798515801769,-1.0890710664686278,1
-3.412255127439312,0.5614685136080765,-0.24861509798364972,1.0733639092241567,0
3.6795425972564955,4.7654860502454826,-1.0213134394661467,-0.5011073550923509,2
-1.9539274713989845,1.383384523347776,0.7314616003848253,0.19541278826262867,0
0.8997750553071052,0.416479780709742,-0.38175904303587105,-1.0721843255737642,1
-0.3809287954395566,0.10177362904942332,-2.714084812054899,0.7719737597338678,1
0.5095394527308875,0.16165834016735084,-1.56585938190243,-0.4183622361465855,1
-0.9449755375621799,0.5297995619111013,1.8544188565408009,-0.3941655877013349,1
1.0266838915521082,-0.25764156630571333,-1.1036104435238483,-0.7156441045557148,1
-0.23287015644280779,-0.2810277686782181,-0.2613567846381235,-1.0763942492067922,1
-2.9205405089267216,0.8932702935199455,-0.2587043556498713,0.6338351112665049,0
-1.8371977355130806,-1.6136689946078087,1.0094894405579435,-1.1232169197628166,1
-1.0433747144410408,1.0028411182968002,-0.7325353558254011,0.09148283586439195,0
-1.3070898468495713,-0.78904863101265,0.38981105663669685,-0.7536994303896677,1
3.37915727170973,0.11570244168414633,-0.7381300239789628,1.5430351981540325,3
1.8157466593464617,-1.5847236873694537,-0.26135500202596984,0.7356521660821321,3
-3.450167737011514,0.9699224522576143,-0.5814521327000927,1.1265809061168532,0
-4.912066145268675,-0.09449868457583459,6.1101582663229115,2.4124213995796415,0
3.721195131644584,-1.4472549790076847,0.8880290586053641,2.7643385257521222,3
1.127386652371411,0.49161113599579725,2.1335009145777724,-0.17649248029181444,1
-2.3603471819217505,-0.47939964609917274,1.0135553963177326,-0.4217099379111505,0
1.1637842932406406,1.1152762035505948,-0.7901192638794227,-0.5451944083522763,1
0.11784622431902793,0.3610311400908273,-0.0466723185595789,-0.9468386294263129,1
-0.02063545187582148,-1.086617411797167,0.40434877431057775,-1.0696217221337487,1
-0.7827458706662412,-0.09649809045121012,0.3090940419091051,-1.0823576860552324,1
1.2178275360138833,-0.6591689610716239,-0.311232316268043,-0.695175222574988,1
1.8140674832663037,-1.4508865366121564,-0.9424872153120513,0.19379156400514239,3
4.2422963446830035,-0.19560367370629975,3.6438751102329405,2.389810580330572,3
0.5727927042682192,-0.6373848425228662,0.08635075898683378,-1.0298392992154193,1
0.16376154366827447,-1.0666784817397428,1.0905184710877331,-0.6448740771168402,1
-1.6797035613689009,-1.0016286214160555,-1.4684359061547159,0.6732207423125917,0
-0.5628976320853285,-0.022104395997464134,-0.6383905491005265,-0.5326513378830997,1
0.8559358125570657,-0.18344075868103887,1.903072246046113,0.20225895434319174,1
-1.9121703067898708,0.09155993466113843,-0.5069589755291884,0.02762527084089346,0
0.8324201868879187,-0.8693259964626717,-1.0176928669336587,-0.5031342354400566,1
1.6025977456332412,2.939120570125815,-0.3866914167747063,-1.400371186555011,1
-3.3816247855884765,-0.23630151587373263,-1.3642535596211216,2.5819764434821657,0
5.783376296512413,6.682090283921621,0.6544200736088058,0.08963764204422206,2
2.0297236995727888,1.0504074455853816,-0.8549784288378482,-0.3714477839930488,1
2.2794917064380344,0.1952752262626332,-0.8015354440329392,-0.06736049557771437,3
-0.8062091357080184,1.3034905887085473,-1.2292269922654444,-0.04236187530190725,0
-1.191837355829424,-0.5567571642158575,-0.7179659533578832,0.5502059825775275,0
1.91806245153453,-0.42746824472560874,0.14074199309436664,-0.4722529548012151,1
2.0191972111273904,-1.784382455889175,-0.38031649800196904,0.26438905437246113,3
-0.575572154871134,-0.9975514782350944,1.7522407174483103,-1.37803039366036,1
0.02662346516612996,-0.016064081509922463,-0.03854633429920489,-1.2248423201012804,1
-2.3194238672962313,-0.7694073280346794,0.7327400733564348,0.49208304331665936,0
0.17167473056172075,-0.09480764089342562,0.012026455002027984,-0.3768338336737764,1
2.8183228570177117,-0.9144809676023482,-0.10180716960616046,1.2422793127958074,3
4.088544125700128,-0.4294619088701972,-0.2615471087167747,2.3070867062181386,3
-1.2444643640093267,-0.028917431631789666,-0.1481593922688751,-0.48104592410803926,1
-2.5540491881613603,-0.21502795550980078,-0.08849046567447058,0.4622264414510299,0
0.9260927074506506,0.828230655266385,0.34201560860092023,-1.5951993840400431,1
-2.371970474867684,-1.1775129456893199,0.39892283200714607,1.1580450105119493,0
-1.997642247801405,0.9583615863528234,-1.2180366100923088,0.5609166061691718,0
-0.7550085380741283,-0.08789385675038901,-0.42328769267409483,-0.8546371754144826,1
0.6022316119482017,0.17343570796484645,-0.24315820598616902,-1.117937214396122,1
0.40143770458077543,-1.4119897338384428,0.22568526389528723,-0.5632947822750949,1
-0.46393616539244237,1.2918734692462943,0.5992383442439488,-0.9398341717946834,1
-2.854836240303579,-0.3520823821824611,-0.7008593960359502,1.2962705007644104,0
0.30229979978487687,-0.09757106690803825,-0.09063755867783223,-0.8796751203818187,1
2.4271412529402823,1.151813073930163,1.8285381093419864,0.2760802228071381,3
2.067989933317089,-1.5353134941962445,-0.25277201484787726,0.7915244031143589,3
2.6412058310387407,-2.9973644598194555,-1.7218778611223189,2.8271102706357696,3
0.6173125975107282,-1.430477232944298,-0.24443663986788552,-0.35871759342836834,1
-0.8535289439327005,-0.6544851120419424,0.6198846672515506,-0.7221828722006207,1
-0.8206311312965884,0.6395700721266835,-0.3899231521901519,-0.7065952414225076,1
-0.5510355640952446,-1.2338861818339923,3.1013500589474425,-0.1153110254530788,1
0.4985243854930937,1.390744315634252,-0.23852611256017398,-1.0740979126663404,1
-1.8874510567821303,-0.10945301487766558,1.1097515908443174,0.05625677486976781,0
-2.8640639181248795,0.4859979854996437,0.22316658140449727,0.8163643575512333,0
